#PATH-POINTS-START Path
-118.453,35.284,120,0
-116.471,35.549,120
-114.507,35.926,120
-112.559,36.374,120
-110.623,36.878,120
-108.7,37.426,120
-106.787,38.01,120
-104.884,38.625,120
-102.989,39.265,120
-101.102,39.929,120
-99.224,40.615,120
-97.352,41.321,120
-95.488,42.045,120
-93.63,42.786,120
-91.779,43.544,120
-89.935,44.316,120
-88.097,45.105,120
-86.265,45.907,120
-84.439,46.724,120
-82.62,47.555,120
-80.807,48.398,120
-79,49.256,120
-77.2,50.127,120
-75.405,51.011,120
-73.618,51.908,120
-71.837,52.819,120
-70.063,53.742,120
-68.296,54.679,120
-66.536,55.629,120
-64.784,56.594,120
-63.04,57.572,120
-61.303,58.563,120
-59.574,59.569,120
-57.855,60.59,120
-56.144,61.626,120
-54.442,62.677,120
-52.75,63.744,120
-51.07,64.828,120
-49.4,65.928,120
-47.741,67.045,120
-46.095,68.181,120
-44.462,69.337,120
-42.843,70.511,120
-41.238,71.705,120
-39.652,72.922,120
-38.081,74.161,120
-36.53,75.422,120
-35,76.711,120
-33.491,78.024,120
-32.009,79.366,120
-30.553,80.737,120
-29.127,82.139,120
-27.736,83.576,120
-26.381,85.048,120
-25.07,86.558,120
-23.807,88.109,120
-22.597,89.701,120
-21.455,91.342,120
-20.384,93.031,120
-19.396,94.769,120
-18.506,96.56,120
-17.735,98.405,120
-17.098,100.301,120
-16.616,102.241,120
-16.311,104.217,120
-16.204,106.213,120,0
-16.269,108.212,120
-16.531,110.192,120
-17.329,111.998,120
-19.155,111.982,120
-20.618,110.628,120
-21.833,109.04,120
-22.922,107.363,120
-23.929,105.635,120
-24.878,103.875,120
-25.783,102.091,120
-26.651,100.289,120
-27.487,98.473,120
-28.295,96.643,120
-29.079,94.803,120
-29.841,92.954,120
-30.58,91.096,120
-31.301,89.23,120
-32.001,87.356,120
-32.683,85.477,120
-33.346,83.59,120
-33.992,81.697,120
-34.619,79.798,120
-35.228,77.893,120
-35.819,75.982,120
-36.39,74.065,120
-36.943,72.143,120
-37.472,70.215,120
-37.983,68.281,120
-38.468,66.34,120
-38.93,64.395,120
-39.363,62.442,120
-39.77,60.484,120
-40.141,58.519,120
-40.479,56.547,120
-40.775,54.57,120
-41.022,52.585,120
-41.214,50.594,120
-41.339,48.598,120
-41.382,46.599,120
-41.318,44.601,120
-41.115,42.612,120
-40.709,40.655,120
-40.011,38.785,120
-38.876,37.149,120
-37.209,36.075,120
-35.245,35.774,120,0
-33.26,35.995,120
-31.601,37.001,120
-31.833,38.91,120
-32.976,40.546,120
-34.342,42.006,120
-35.807,43.367,120
-37.328,44.666,120
-38.886,45.92,120
-40.47,47.14,120
-42.075,48.334,120
-43.695,49.506,120
-45.327,50.662,120
-46.971,51.802,120
-48.622,52.93,120
-50.282,54.046,120
-51.947,55.153,120
-53.619,56.252,120
-55.295,57.343,120
-56.976,58.427,120
-58.66,59.505,120
-60.348,60.578,120
-62.039,61.645,120
-63.733,62.709,120
-65.43,63.768,120
-67.129,64.823,120
-68.83,65.875,120
-70.533,66.924,120
-72.237,67.97,120
-73.944,69.013,120
-75.651,70.054,120
-77.36,71.093,120
-79.071,72.13,120
-80.782,73.165,120
-82.495,74.198,120
-84.208,75.229,120
-85.922,76.26,120
-87.638,77.288,120
-89.353,78.316,120
-91.07,79.343,120
-92.787,80.368,120
-94.504,81.393,120
-96.222,82.417,120
-97.941,83.44,120
-99.659,84.463,120
-101.378,85.485,120
-103.098,86.507,120
-104.817,87.528,120
-106.537,88.549,120
-108.257,89.57,120
-109.977,90.591,120
-111.697,91.612,120
-113.417,92.632,120
-115.136,93.653,120
-116.856,94.674,120
-118.576,95.695,120
-120.296,96.716,120
-122.015,97.738,120
-123.734,98.76,120
-125.453,99.782,120
-127.172,100.805,120
-128.89,101.828,120
-130.608,102.852,120
-132.326,103.877,120
-134.043,104.902,120
-135.76,105.928,120
-137.476,106.955,120
-139.192,107.983,120
-140.907,109.011,120
-142.622,110.041,120
-144.336,111.072,120
-146.049,112.103,120
-147.762,113.136,120,0
-149.473,114.171,120
-151.183,115.209,120
-152.887,116.256,120
-154.586,117.311,120
-156.279,118.375,120
-157.965,119.452,120
-159.641,120.542,120
-161.307,121.649,120
-162.96,122.775,120
-164.594,123.928,120
-166.205,125.113,120
-167.777,126.35,120
-169.284,127.664,120
-170.649,129.122,120
-171.323,130.929,120
-169.651,131.835,120
-167.655,131.914,120
-165.661,131.775,120
-163.675,131.538,120
-161.697,131.242,120
-159.725,130.908,120
-157.758,130.546,120
-155.795,130.164,120
-153.835,129.767,120
-151.877,129.36,120
-149.92,128.943,120
-147.966,128.521,120
-146.012,128.094,120
-144.058,127.665,120
-142.105,127.233,120
-140.153,126.801,120
-138.2,126.369,120
-136.247,125.938,120
-134.294,125.509,120
-132.34,125.082,120
-130.385,124.659,120
-128.429,124.24,120
-126.473,123.825,120
-124.515,123.416,120
-122.556,123.013,120
-120.596,122.617,120
-118.634,122.228,120
-116.67,121.847,120
-114.705,121.474,120
-112.738,121.113,120
-110.77,120.762,120
-108.799,120.422,120
-106.826,120.094,120
-104.85,119.78,120
-102.873,119.482,120
-100.893,119.2,120
-98.91,118.936,120
-96.925,118.691,120
-94.938,118.469,120
-92.948,118.271,120
-90.955,118.098,120
-88.96,117.957,120
-86.963,117.849,120
-84.964,117.778,120
-82.965,117.752,120
-80.965,117.772,120
-78.967,117.854,120
-77.358,117.964,120,0
-77.358,117.964,0,0
#PATH.JERRYIO-DATA {"appVersion":"0.10.0","format":"path.jerryio v0.1","gc":{"robotWidth":13,"robotHeight":14.5,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":0.7874015748031495,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"VURC 2026 - Push Back","signature":"VURC-PushBack-H2H-TopDownHighlighted-TileColor66_71","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"G7bAqnrPbb","x":-46.63519036944735,"y":13.89116937652628,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"9j5wXElREM","x":-38.54549106531391,"y":14.661616929300893,"lock":false,"visible":true,"__type":"control"},{"uid":"7UWS1dpNFb","x":-6.3793057369738,"y":29.277007005435305,"lock":false,"visible":true,"__type":"control"},{"uid":"BArfK5zCHb","x":-6.3793057369738,"y":41.819893164606015,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"TLGKvMTG3a"},{"controls":[{"uid":"BArfK5zCHb","x":-6.3793057369738,"y":41.819893164606015,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"HJZZn48ZfH","x":-6.3793057369738,"y":54.36277932377672,"lock":false,"visible":true,"__type":"control"},{"uid":"LAbjvH5T0s","x":-22.173480568853375,"y":13.89116937652628,"lock":false,"visible":true,"__type":"control"},{"uid":"tcKrl95O7B","x":-13.89116937652628,"y":14.083781264719933,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"V1EmMRFNEY"},{"controls":[{"uid":"tcKrl95O7B","x":-13.89116937652628,"y":14.083781264719933,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"QcJ9P0PJkK","x":-5.608858184199185,"y":14.276393152913586,"lock":false,"visible":true,"__type":"control"},{"uid":"knDsezBLgw","x":-32.95974630769796,"y":29.30012043201855,"lock":false,"visible":true,"__type":"control"},{"uid":"lsHIe2sO7H","x":-58.769739325647514,"y":44.90168337570447,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"Mrnml5OKgv"},{"controls":[{"uid":"lsHIe2sO7H","x":-58.769739325647514,"y":44.90168337570447,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"Wg98qAcfTB","x":-84.57973234359707,"y":60.5032463193904,"lock":false,"visible":true,"__type":"control"},{"uid":"daX203X0Ot","x":-46.24996659306004,"y":45.094295263898125,"lock":false,"visible":true,"__type":"control"},{"uid":"UfezSPGdcV","x":-30.455791761180468,"y":46.4425784812537,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"YhFrOBDzpy"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":600,"label":"600"},"step":1,"from":40,"to":120},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1}},"name":"Path","uid":"9UetmXquLh","lock":false,"visible":true}]}
